code_circo,nom,genre,FILLON
02_2,Julien Dive,H,0.17455579246624000
02_2,Julien Dive,H,0.17455579246624000
29_6,Gaëlle Nicolas,F,0.1744186046511630
76_9,Clarisse Coufourier,F,0.17389810802240800
31_10,Arnaud Lafon,H,0.17387721973535300
31_10,Arnaud Lafon,H,0.17387721973535300
38_9,Bruno Gattaz,H,0.17340795723679900
38_9,Bruno Gattaz,H,0.17340795723679900
974_7,Sandra Sinimalé,F,0.17326282461517700
38_6,Alain Moyne-Bressand,H,0.17324088822261800
38_6,Alain Moyne-Bressand,H,0.17324088822261800
03_2,Daniel Duglery,H,0.17290842954293800
03_2,Daniel Duglery,H,0.17290842954293800
66_2,Fernand Siré,H,0.17275449902398600
66_2,Fernand Siré,H,0.17275449902398600
75_9,Laure Esquieu,F,0.17255769611282000
31_2,Christine Gennaro-Saint,F,0.17235010127001500
35_8,Amélie Dhalluin,F,0.171778053536607
91_7,Robin Reda,H,0.1716908350596470
91_7,Robin Reda,H,0.1716908350596470
24_4,Jérôme Peyrat,H,0.17137759148068400
24_4,Jérôme Peyrat,H,0.17137759148068400
42_1,Robert Karulak,H,0.171226649032898
42_1,Robert Karulak,H,0.171226649032898
60_5,Lucien Degauchy,H,0.17071871281677900
60_5,Lucien Degauchy,H,0.17071871281677900
79_2,Severine Vachon,F,0.170085381091212
56_6,Anne-Maud Goujon,F,0.1696797874380260
75_5,Déborah Pawlik,F,0.16945186637365400
59_5,Sébastien Huyghe,H,0.16932101815601800
59_5,Sébastien Huyghe,H,0.16932101815601800
64_2,Eric Saubatte,H,0.16883621225301400
64_2,Eric Saubatte,H,0.16883621225301400
64_1,Pauline Roy,F,0.16859368287352700
59_11,Karine Charbonnier-Beck,F,0.16854245027587900
40_1,Marie-Françoise Nadau,F,0.1682866875460120
69_7,Alexandre Vincendet,H,0.16820539307465500
69_7,Alexandre Vincendet,H,0.16820539307465500
31_4,Bertrand Serp,H,0.1676719173937650
31_4,Bertrand Serp,H,0.1676719173937650
66_3,Danièle Pages,F,0.16767061940204400
77_7,Yves Albarello,H,0.16762147570485900
77_7,Yves Albarello,H,0.16762147570485900
38_7,Jean-Pierre Barbier,H,0.16746885419718500
38_7,Jean-Pierre Barbier,H,0.16746885419718500
87_2,Dominique Sauget,F,0.16722774703659300
29_8,Laetitia Boidin,F,0.16709126761374300
22_1,Sylvie Grondin,F,0.16700392318810700
971_4,Sonia Petro,F,0.1668820072521150
66_4,Jacqueline Irles,F,0.16641716897396800
21_3,Pascale Caravel-Fauguet,F,0.16626987732848700
69_6,Emmanuelle Haziza,H,0.16590920525247800
69_6,Emmanuelle Haziza,H,0.16590920525247800
13_12,Eric Diard,H,0.16589492055002700
13_12,Eric Diard,H,0.16589492055002700
46_1,Aurélien Pradié,H,0.16588793193626000
46_1,Aurélien Pradié,H,0.16588793193626000
94_3,Didier Gonzales,H,0.16561056226146300
94_3,Didier Gonzales,H,0.16561056226146300
02_3,Frédéric Meura,H,0.1654712036877640
02_3,Frédéric Meura,H,0.1654712036877640
974_2,Cyril Melchior,H,0.16527955388775900
974_2,Cyril Melchior,H,0.16527955388775900
80_4,Alain Gest,H,0.16518002667061800
80_4,Alain Gest,H,0.16518002667061800
82_2,Mathieu Albugues,H,0.1651147856798840
82_2,Mathieu Albugues,H,0.1651147856798840
75_18,Pierre-Yves Bournazel,H,0.1650628896817670
75_18,Pierre-Yves Bournazel,H,0.1650628896817670
33_12,Yves d’Amecourt,H,0.1647275044835410
33_12,Yves d’Amecourt,H,0.1647275044835410
18_2,Sophie Bertrand,F,0.16470316914265900
54_5,Philippe Morenvillier,H,0.16463991027797800
54_5,Philippe Morenvillier,H,0.16463991027797800
70_2,Isabelle Géhin,F,0.16457901878169000
84_1,Stéphanie Parry,F,0.16451660735468600
34_4,Laurence Cristol,F,0.16424839117760300
42_4,Dino Cinieri,H,0.16420977396587200
42_4,Dino Cinieri,H,0.16420977396587200
62_9,Pierre-Emmanuel Gibson,H,0.1638421743995590
62_9,Pierre-Emmanuel Gibson,H,0.1638421743995590
31_1,Francois Chollet,H,0.1637799487155290
31_1,Francois Chollet,H,0.1637799487155290
93_3,Christian Demuynck,H,0.16364812419146200
93_3,Christian Demuynck,H,0.16364812419146200
