code_circo,genre,nom,MACRON
999_7,H,Frédéric PETIT,0.5299626512068677
999_1,H,Roland LESCURE,0.4516900051307079
75_5,H,Benjamin GRIVEAUX,0.39849172345101264
999_11,F,Anne GENETET,0.3920362641532041
999_4,H,Pieyre Alexandre ANGLADE,0.38771955719557194
999_2,F,Paula FORTEZA,0.37973370940312745
75_2,H,Gilles LE GENDRE,0.3695835222488503
75_3,H,Stanislas GUERINI,0.3685852551716803
999_8,F,Florence DRORY,0.36422821141057055
92_10,H,Gabriel ATTAL,0.3632195380608537
75_13,H,Hugues RENSON,0.35707444770782787
999_5,F,Samantha CAZEBONNE,0.3500963779165108
75_8,F,Laetitia AVIA,0.3489067519355746
92_13,F,Frédérique DUMAS,0.3476797439717486
