Classement des circonscriptions,Liste H/F EM,LFI,LR,FN,PS,Total Femmes jusqu’alors - EM,LFI,LR,FN,PS,Proportion de femmes jusqu’alors - EM,LFI,LR,FN,PS
214,H,F,H,F,F,108,106,57,94,102,0.5047,0.4953,0.2664,0.4393,0.4766
215,H,F,F,H,F,108,107,58,94,103,0.5023,0.4977,0.2698,0.4372,0.4791
216,F,H,H,H,F,109,107,58,94,104,0.5046,0.4954,0.2685,0.4352,0.4815
217,F,F,H,F,F,110,108,58,95,105,0.5069,0.4977,0.2673,0.4378,0.4839
218,F,H,H,H,F,111,108,58,95,106,0.5092,0.4954,0.2661,0.4358,0.4862
219,F,H,H,F,H,112,108,58,96,106,0.5114,0.4932,0.2648,0.4384,0.4840
220,H,H,F,H,H,112,108,59,96,106,0.5091,0.4909,0.2682,0.4364,0.4818
221,F,F,F,H,F,113,109,60,96,107,0.5113,0.4932,0.2715,0.4344,0.4842
222,F,H,H,H,H,114,109,60,96,107,0.5135,0.4910,0.2703,0.4324,0.4820
223,F,F,H,H,F,115,110,60,96,108,0.5157,0.4933,0.2691,0.4305,0.4843
224,F,H,H,H,H,116,110,60,96,108,0.5179,0.4911,0.2679,0.4286,0.4821
225,F,H,H,H,F,117,110,60,96,109,0.5200,0.4889,0.2667,0.4267,0.4844
226,H,F,H,F,F,117,111,60,97,110,0.5177,0.4912,0.2655,0.4292,0.4867
227,H,H,H,F,H,117,111,60,98,110,0.5154,0.4890,0.2643,0.4317,0.4846
228,F,H,H,F,F,118,111,60,99,111,0.5175,0.4868,0.2632,0.4342,0.4868
229,H,F,H,H,H,118,112,60,99,111,0.5153,0.4891,0.2620,0.4323,0.4847
230,F,F,H,F,F,119,113,60,100,112,0.5174,0.4913,0.2609,0.4348,0.4870
231,H,H,F,H,F,119,113,61,100,113,0.5152,0.4892,0.2641,0.4329,0.4892
232,F,F,H,H,H,120,114,61,100,113,0.5172,0.4914,0.2629,0.4310,0.4871
233,H,H,F,F,H,120,114,62,101,113,0.5150,0.4893,0.2661,0.4335,0.4850
234,H,F,H,F,F,120,115,62,102,114,0.5128,0.4915,0.2650,0.4359,0.4872
235,H,F,H,H,H,120,116,62,102,114,0.5106,0.4936,0.2638,0.4340,0.4851
236,H,H,H,H,H,120,116,62,102,114,0.5085,0.4915,0.2627,0.4322,0.4831
237,H,H,H,H,F,120,116,62,102,115,0.5063,0.4895,0.2616,0.4304,0.4852
238,F,F,H,H,F,121,117,62,102,116,0.5084,0.4916,0.2605,0.4286,0.4874
239,F,H,H,H,H,122,117,62,102,116,0.5105,0.4895,0.2594,0.4268,0.4854
240,F,,F,F,F,123,117,63,103,117,0.5125,0.4875,0.2625,0.4292,0.4875
241,F,F,H,H,F,124,118,63,103,118,0.5145,0.4896,0.2614,0.4274,0.4896
242,H,H,F,H,F,124,118,64,103,119,0.5124,0.4876,0.2645,0.4256,0.4917
243,H,H,H,H,F,124,118,64,103,120,0.5103,0.4856,0.2634,0.4239,0.4938
244,F,F,H,F,H,125,119,64,104,120,0.5123,0.4877,0.2623,0.4262,0.4918
245,H,F,H,H,H,125,120,64,104,120,0.5102,0.4898,0.2612,0.4245,0.4898
246,H,H,H,H,H,125,120,64,104,120,0.5081,0.4878,0.2602,0.4228,0.4878
247,H,F,F,F,F,125,121,65,105,121,0.5061,0.4899,0.2632,0.4251,0.4899
248,F,F,H,H,H,126,122,65,105,121,0.5081,0.4919,0.2621,0.4234,0.4879
249,F,H,H,H,H,127,122,65,105,121,0.5100,0.4900,0.2610,0.4217,0.4859
250,H,F,H,F,H,127,123,65,106,121,0.5080,0.4920,0.2600,0.4240,0.4840
251,H,F,F,F,F,127,124,66,107,122,0.5060,0.4940,0.2629,0.4263,0.4861
252,H,H,F,H,H,127,124,67,107,122,0.5040,0.4921,0.2659,0.4246,0.4841
253,H,F,H,F,H,127,125,67,108,122,0.5020,0.4941,0.2648,0.4269,0.4822
254,H,H,F,F,H,127,125,68,109,122,0.5000,0.4921,0.2677,0.4291,0.4803
255,H,H,H,F,F,127,125,68,110,123,0.4980,0.4902,0.2667,0.4314,0.4824
256,F,H,H,F,F,128,125,68,111,124,0.5000,0.4883,0.2656,0.4336,0.4844
257,H,H,H,F,F,128,125,68,112,125,0.4981,0.4864,0.2646,0.4358,0.4864
258,F,H,H,F,F,129,125,68,113,126,0.5000,0.4845,0.2636,0.4380,0.4884
259,F,F,F,F,F,130,126,69,114,127,0.5019,0.4865,0.2664,0.4402,0.4903
260,H,F,F,F,F,130,127,70,115,128,0.5000,0.4885,0.2692,0.4423,0.4923
261,F,F,H,F,H,131,128,70,116,128,0.5019,0.4904,0.2682,0.4444,0.4904
262,H,F,H,F,F,131,129,70,117,129,0.5000,0.4924,0.2672,0.4466,0.4924
263,F,F,H,H,F,132,130,70,117,130,0.5019,0.4943,0.2662,0.4449,0.4943
264,H,H,F,F,F,132,130,71,118,131,0.5000,0.4924,0.2689,0.4470,0.4962
265,H,F,H,F,F,132,131,71,119,132,0.4981,0.4943,0.2679,0.4491,0.4981
266,F,F,F,F,F,133,132,72,120,133,0.5000,0.4962,0.2707,0.4511,0.5000
267,H,H,H,F,H,133,132,72,121,133,0.4981,0.4944,0.2697,0.4532,0.4981
268,H,H,H,H,H,133,132,72,121,133,0.4963,0.4925,0.2687,0.4515,0.4963
269,H,H,F,F,F,133,132,73,122,134,0.4944,0.4907,0.2714,0.4535,0.4981
270,H,H,F,H,H,133,132,74,122,134,0.4926,0.4889,0.2741,0.4519,0.4963
271,F,F,F,F,H,134,133,75,123,134,0.4945,0.4908,0.2768,0.4539,0.4945
272,F,H,H,H,H,135,133,75,123,134,0.4963,0.4890,0.2757,0.4522,0.4926
273,H,H,F,F,H,135,133,76,124,134,0.4945,0.4872,0.2784,0.4542,0.4908
274,F,F,H,H,F,136,134,76,124,135,0.4964,0.4891,0.2774,0.4526,0.4927
275,H,F,H,H,H,136,135,76,124,135,0.4945,0.4909,0.2764,0.4509,0.4909
276,H,F,H,H,F,136,136,76,124,136,0.4928,0.4928,0.2754,0.4493,0.4928
277,H,H,H,H,F,136,136,76,124,137,0.4910,0.4910,0.2744,0.4477,0.4946
278,H,F,H,F,H,136,137,76,125,137,0.4892,0.4928,0.2734,0.4496,0.4928
279,F,F,H,H,F,137,138,76,125,138,0.4910,0.4946,0.2724,0.4480,0.4946
280,F,F,H,F,F,138,139,76,126,139,0.4929,0.4964,0.2714,0.4500,0.4964
281,H,H,F,F,H,138,139,77,127,139,0.4911,0.4947,0.2740,0.4520,0.4947
282,H,H,H,H,F,138,139,77,127,140,0.4894,0.4929,0.2730,0.4504,0.4965
283,H,F,H,H,F,138,140,77,127,141,0.4876,0.4947,0.2721,0.4488,0.4982
284,H,H,H,H,F,138,140,77,127,142,0.4859,0.4930,0.2711,0.4472,0.5000
285,H,H,H,F,H,138,140,77,128,142,0.4842,0.4912,0.2702,0.4491,0.4982
286,H,H,H,H,F,138,140,77,128,143,0.4825,0.4895,0.2692,0.4476,0.5000
287,F,F,F,F,F,139,141,78,129,144,0.4843,0.4913,0.2718,0.4495,0.5017
