code_circo,TG,SG,Titulaire,Suppléant
37_1,H,F,Claude Bourdin,Inès Yamba-Tambikissa
09_2,H,F,Michel Larive,Ingrid Lavoine
88_2,H,F,Sylvain CALBRIX,Isabelle Arnould
84_4,H,F,Farid Faryssy,Isabelle Bruet
02_5,H,F,Omar Fenardji,Isabelle Lambert
75_15,H,F,MEHDI KEMOUNE,Isabelle Leparcq
74_5,H,F,Marin Dauriat,Isabelle Naïm Christin
25_5,F,H,Martine Ludi,Ivan Bouday
71_2,H,,Philippe Bonnot,Jacqueline Bramant
60_6,F,H,Géraldine Minet,Jacques Delhay
07_2,F,H,Samia HASNAOUI,Jacques Deplace
85_1,F,H,Gwenaëlle  Grietens,Jacques Reboulleau
10_3,H,F,Yves BOUTEILLER,Janny Borca
36_1,F,H,Corinne Keller,Jean-Baptiste Auger
26_4,F,H,Emmanuelle OULD AOUDIA,Jean-Bernard SUCHEL
82_1,F,H,Marie-Lyne Nadal,Jean-Claude Madaule
68_5,F,H,Geneviève ENGGASSER,Jean-Claude VAL
11_3,F,H,Manon LE BRETTON,Jean-Didier Carré
59_9,F,H,Ninon VAN ISTERDAEL,Jean-Louis Van-de-Wiele
34_9,F,H,IMANE DIANI,Jean-Luc MOULETTE
37_3,F,H,Sylvie Adolphe,Jean-Marie BONNET
44_9,F,H,Liliane Vaillant,Jean-Marie Cosson
34_8,F,H,Martine - Marielle Monfort,Jean-Marie Pourtier
66_2,F,H,Catherine DAVID,Jean-Noël Clanet
27_2,F,H,Nathalie PACOURET,Jean-Paul BOITEUX
45_1,F,H,Anne Sophie Leguin,Jean-Paul Vasquez
13_15,F,H,Michèle JUNG  (titulaire),Jean-Pierre 
33_8,F,H,Cecile Coti,Jean-Pierre DiMeo
13_14,F,H,Hélène Le Cacheux,Jean-Yves Salvat
41_1,F,H,Kenza Belliard,Jeremie Fassot
94_5,F,H,Raphaëlle Martinez,Jeremy Boucher
91_8,F,H,Mai-Ly Khan,Jérôme Flament
66_4,F,H,Dominique-Christiane Guerin,Jérôme Pous
44_7,F,H,CATHERINE LEGAL,Jim Delémont
67_2,F,H,Christine Kaidi,Jimmy Brunet
76_8,H,F,François Panchout,Joanna Castillo
79_2,H,F,Yannick Maillou,Jocelyne Bénard
94_3,H,F,Nicolas Georges,Jocelyne Pigrée
42_4,H,F,Léo CHAVAS,Joëlle de Alamo
95_6,H,F,Serge Grossvak,Johanne Labellé
25_1,F,H,Habiba Delacour,José Gahona
84_3,F,H,Laurence Cermolacce-Boissier,José Robert
93_10,F,H,Ambre Froment,Joseph Pace
40_3,H,F,Philippe DUBOURG,Josette Boulanger
92_13,H,F,Nicolas Lasgi,Julie Cazalet
60_4,H,F,Martin Battaglia,Julie Demesse
10_1,H,F,Michel Bach,Julie Lapeyre
64_3,H,F,Eric Lytwyn,Julie Ledemé
75_2,F,H,Anne-Françoise PRUNIERES,Julien Bermudez
83_5,F,H,Catherine Aubry,Julien Poussin
69_4,F,H,Anne Fontenille,Julien Ravello
45_2,H,F,Olivier Hicter,Karin Fischer
50_3,H,F,Bernard Rebolle,Karin Lacroix
79_1,F,H,Nathalie SEGUIN,Karine Olivier
31_10,F,H,Monique Fabre,Kévin Grenèche
75_4,F,H,Mélanie Monier,Kevin Guibert
86_1,F,H,Céline Cuvillier,Kioumars Thomas SAHABI
83_1,H,F,Luc Léandri,Laura Golygowski
35_5,H,F,Mickaël Hugonnet,Laure Aumon
31_9,H,F,Manuel Bompard,Laure Tachoires
31_7,H,F,Christophe BEX,Lauren Baron
27_5,H,F,Pierre ZIMMERMANN,Laurence FILIPPINI
23_1,F,H,Laurence Pache,Laurent Sauvajon
29_6,H,F,Jean Michel LUCAS,Lauriane Feyeux
49_7,H,F,Olivier Dupuis,Léa pouleau
06_1,F,H,Bob Injey,Liliane Dotta
06_8,F,H,Maddy VARD,Luc Biasso
51_2,H,F,Victorien Pâté,Lucie Berweiller
19_1,H,F,Jean-Marc Vareille,Lucrèce Lachenardière
24_4,F,H,Emilie Chalard,Luis Ferreyra
07_1,H,F,Paul Raoul,Luisa Sanchez
62_3,H,F,Djordje Kuzmanovic,Lynda Kebbas
92_12,H,F,Victor Germain,Madeleine Bahloul
91_2,H,F,Michaël Goasdoué,Maële Vincensini
93_8,H,F,Maxence Albespy,MAGALI TURLURE
47_2,H,F,Youssef Sadir,Magaly Castagnier
65_1,F,H,Sylvie FERRER,Manuel MOUTOUSSAMY
54_6,F,H,Caroline Fiat,Marc Didier
35_4,F,H,Alexandra Vandenbossche,Marc Martin
09_1,F,H,Bénédicte Taurine,Marcel Lopez
74_1,H,F,Julian Augé,Margaux Lagay
